player,team,team_abbrev,avg,hits,homeRuns,rbi,stolenBases,obp,slg,ops,atBats,plateAppearances,strikeOuts,baseOnBalls,gamesplayed,PlayerID,scrape_date
Drew Cavanaugh,San Francisco Giants,SF,.242,31,1,10,1,.326,.289,.615,128,147,41,16,51,701852,2026-09-14
Hunter Goodman,Colorado Rockies,COL,.242,116,38,81,5,.309,.522,.831,479,531,170,43,128,696100,2026-09-14
Kyle Stowers,Miami Marlins,MIA,.242,100,19,60,1,.331,.460,.791,413,472,153,47,112,669065,2026-09-14
Starling Marte,Kansas City Royals,KC,.242,37,2,14,2,.298,.314,.612,153,168,41,9,59,516782,2026-09-14
JJ Wetherholt,St. Louis Cardinals,STL,.242,122,17,48,14,.343,.370,.713,505,586,95,63,130,802139,2026-09-14
Christian Yelich,Milwaukee Brewers,MIL,.241,99,11,54,11,.320,.388,.708,410,464,123,45,109,592885,2026-09-14
Rikuu Nishida,Chicago White Sox,CWS,.241,7,0,2,0,.241,.241,.482,29,30,5,0,12,807747,2026-09-14
Wyatt Langford,Texas Rangers,TEX,.241,90,17,39,13,.328,.440,.768,373,421,94,44,98,694671,2026-09-14
David Hamilton,Milwaukee Brewers,MIL,.241,76,4,25,27,.311,.333,.644,315,360,78,31,112,666152,2026-09-14
Andrew Benintendi,Chicago White Sox,CWS,.241,96,14,70,1,.302,.417,.719,398,441,102,36,132,643217,2026-09-14
Trea Turner,Philadelphia Phillies,PHI,.241,144,19,57,19,.293,.385,.678,597,645,138,41,145,607208,2026-09-14
Roman Anthony,Boston Red Sox,BOS,.241,41,4,10,2,.342,.376,.718,170,196,53,25,44,701350,2026-09-14
Luis Rengifo,San Diego Padres,SD,.240,75,4,36,6,.319,.317,.636,312,354,49,34,95,650859,2026-09-14
Nolan Arenado,Arizona Diamondbacks,ARI,.240,117,25,73,4,.319,.446,.765,487,549,110,50,140,571448,2026-09-14
Will Smith,Los Angeles Dodgers,LAD,.240,49,7,29,0,.338,.382,.720,204,240,39,29,64,669257,2026-09-14
José Fermín,St. Louis Cardinals,STL,.240,73,6,39,8,.303,.349,.652,304,344,46,29,109,665877,2026-09-14
Kevin Alcántara,Chicago Cubs,CHC,.240,6,1,6,0,.286,.360,.646,25,28,11,2,24,682634,2026-09-14
Miguel Amaya,Chicago Cubs,CHC,.240,48,6,25,0,.348,.380,.728,200,236,62,23,78,665804,2026-09-14
Zach Neto,Los Angeles Angels,LAA,.240,138,26,73,20,.320,.440,.760,575,644,197,56,144,687263,2026-09-14
Andruw Monasterio,Boston Red Sox,BOS,.240,71,6,40,4,.300,.385,.685,296,328,63,24,100,655316,2026-09-14
