player,team,team_abbrev,avg,hits,homeRuns,rbi,stolenBases,obp,slg,ops,atBats,plateAppearances,strikeOuts,baseOnBalls,gamesplayed,PlayerID,scrape_date
Teoscar Hernández,Los Angeles Dodgers,LAD,.265,104,13,58,4,.332,.417,.749,393,437,118,38,112,606192,2026-09-14
Alex Bregman,Chicago Cubs,CHC,.264,153,25,84,3,.354,.451,.805,579,669,99,72,147,608324,2026-09-14
Joey Ortiz,Milwaukee Brewers,MIL,.264,89,9,44,9,.324,.401,.725,337,378,70,32,125,687401,2026-09-14
CJ Abrams,Washington Nationals,WSH,.264,143,30,96,29,.339,.494,.833,542,613,150,53,142,682928,2026-09-14
Brandon Marsh,Philadelphia Phillies,PHI,.264,131,17,58,11,.308,.412,.720,497,536,132,32,144,669016,2026-09-14
Nick Fortes,Tampa Bay Rays,TB,.264,73,5,33,0,.310,.372,.682,277,301,38,11,99,663743,2026-09-14
Brandon Nimmo,Texas Rangers,TEX,.263,145,14,60,7,.328,.414,.742,551,610,133,48,144,607043,2026-09-14
Jonny DeLuca,Tampa Bay Rays,TB,.263,81,9,43,15,.295,.416,.711,308,325,64,14,99,676356,2026-09-14
Bo Bichette,New York Mets,NYM,.263,153,16,73,2,.313,.393,.706,582,635,115,44,147,666182,2026-09-14
Nick Sogard,Boston Red Sox,BOS,.263,51,4,17,0,.360,.402,.762,194,229,45,29,54,686765,2026-09-14
Christian Encarnacion-Strand,Baltimore Orioles,BAL,.263,42,8,32,1,.316,.469,.785,160,175,47,10,48,687952,2026-09-14
Pedro Ramírez,Chicago Cubs,CHC,.262,54,6,29,7,.322,.427,.749,206,228,41,18,71,699393,2026-09-14
Jose Fernandez,Arizona Diamondbacks,ARI,.262,50,3,16,9,.305,.356,.661,191,207,45,11,65,699912,2026-09-14
Victor Mesa Jr.,Tampa Bay Rays,TB,.261,52,13,30,9,.330,.518,.848,199,223,44,20,68,683748,2026-09-14
Konnor Griffin,Pittsburgh Pirates,PIT,.261,68,5,27,22,.316,.383,.699,261,285,74,18,68,804606,2026-09-14
Ryan Vilade,Tampa Bay Rays,TB,.260,56,11,39,3,.328,.470,.798,215,242,55,22,86,668723,2026-09-14
Ben Rice,New York Yankees,NYY,.260,138,38,90,3,.356,.528,.884,530,612,150,74,142,700250,2026-09-14
